"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","12 Apr 2024","48671.2","48882.65","48477.55","48564.55"
"NIFTY BANK","10 Apr 2024","48879.55","49057.4","48669.25","48986.60"
"NIFTY BANK","09 Apr 2024","48810.8","48960.75","48568.25","48730.55"
"NIFTY BANK","08 Apr 2024","48586.75","48716.95","48424.65","48581.70"
"NIFTY BANK","05 Apr 2024","48104.65","48557.4","47894.5","48493.05"
"NIFTY BANK","04 Apr 2024","48086.2","48254.65","47712.7","48060.80"
"NIFTY BANK","03 Apr 2024","47350.25","47676.95","47279.8","47624.25"
"NIFTY BANK","02 Apr 2024","47490.75","47707.35","47408.55","47545.45"
"NIFTY BANK","01 Apr 2024","47391.05","47646.8","47373.1","47578.25"
"NIFTY BANK","28 Mar 2024","46827.85","47440.45","46827.85","47124.60"
"NIFTY BANK","27 Mar 2024","46643.45","46956.1","46643.45","46785.95"
"NIFTY BANK","26 Mar 2024","46552.95","46788.35","46529.05","46600.20"
"NIFTY BANK","22 Mar 2024","46634.9","46974.15","46566.8","46863.75"
"NIFTY BANK","21 Mar 2024","46674.85","46990.25","46570.15","46684.90"
"NIFTY BANK","20 Mar 2024","46392.9","46655.55","45828.8","46310.90"
"NIFTY BANK","19 Mar 2024","46421.9","46602.35","46258.75","46384.80"
"NIFTY BANK","18 Mar 2024","46458.75","46739.25","46022.15","46575.90"
"NIFTY BANK","15 Mar 2024","46572.1","46802.55","46310.5","46594.10"
"NIFTY BANK","14 Mar 2024","46825.75","47231.5","46565.55","46789.95"
"NIFTY BANK","13 Mar 2024","47341.15","47468.7","46842.15","46981.30"
"NIFTY BANK","12 Mar 2024","47351.35","47812.75","46884.45","47282.40"
"NIFTY BANK","11 Mar 2024","47792.2","47853.8","47230.65","47327.85"
"NIFTY BANK","07 Mar 2024","48035.8","48071.7","47747.2","47835.80"
"NIFTY BANK","06 Mar 2024","47451.65","48161.25","47442.25","47965.40"
"NIFTY BANK","05 Mar 2024","47265.7","47737.85","47196.75","47581.00"
"NIFTY BANK","04 Mar 2024","47318.5","47529.6","47191.65","47456.10"
"NIFTY BANK","02 Mar 2024","47377.45","47433.85","47237","47297.50"
"NIFTY BANK","01 Mar 2024","46218","47342.25","46218","47286.90"
"NIFTY BANK","29 Feb 2024","45881.45","46329.65","45661.75","46120.90"
"NIFTY BANK","28 Feb 2024","46640.9","46754.55","45852.55","45963.15"
"NIFTY BANK","27 Feb 2024","46480.2","46722.25","46324.9","46588.05"
"NIFTY BANK","26 Feb 2024","46615.85","46893.15","46513.55","46576.50"
"NIFTY BANK","23 Feb 2024","47060.7","47245.35","46723.15","46811.75"
"NIFTY BANK","22 Feb 2024","46934.55","47024.05","46426.85","46919.80"
"NIFTY BANK","21 Feb 2024","47363.4","47363.4","46886.95","47019.70"
"NIFTY BANK","20 Feb 2024","46444.9","47136.75","46367.8","47094.20"
"NIFTY BANK","19 Feb 2024","46554.9","46717.4","46317.7","46535.50"
"NIFTY BANK","16 Feb 2024","46454.3","46693.4","46264.4","46384.85"
"NIFTY BANK","15 Feb 2024","46027.1","46297.7","45590.2","46218.90"
"NIFTY BANK","14 Feb 2024","45014.65","46170.45","44860.75","45908.30"
"NIFTY BANK","13 Feb 2024","45056.8","45750.4","44819.55","45502.40"
"NIFTY BANK","12 Feb 2024","45664.3","45748.5","44633.85","44882.25"
"NIFTY BANK","09 Feb 2024","44986.75","45718.15","44859.15","45634.55"
"NIFTY BANK","08 Feb 2024","45973.85","46181.2","44893.75","45012.00"
"NIFTY BANK","07 Feb 2024","45944.6","46062.85","45620.5","45818.50"
"NIFTY BANK","06 Feb 2024","45891.2","45932.15","45527","45690.80"
"NIFTY BANK","05 Feb 2024","45962.25","46048.6","45615.1","45825.55"
"NIFTY BANK","02 Feb 2024","46568.2","46892.35","45901.25","45970.95"
"NIFTY BANK","01 Feb 2024","46164.9","46306.9","45668.35","46188.65"
"NIFTY BANK","31 Jan 2024","45295.65","46179.75","45071.2","45996.80"
"NIFTY BANK","30 Jan 2024","45481.5","45678.7","45206.05","45367.75"
"NIFTY BANK","29 Jan 2024","45171.5","45660.35","45110.9","45442.35"
"NIFTY BANK","25 Jan 2024","45057.95","45139.05","44429","44866.15"
"NIFTY BANK","24 Jan 2024","44489.4","45485.5","44489.4","45082.40"
"NIFTY BANK","23 Jan 2024","46495.45","46580.3","44886.1","45015.05"
"NIFTY BANK","20 Jan 2024","45989.25","46183.7","45640.9","46058.20"
"NIFTY BANK","19 Jan 2024","46103.5","46249.85","45558.05","45701.15"
"NIFTY BANK","18 Jan 2024","45492.75","46184.05","45430.7","45713.55"
"NIFTY BANK","17 Jan 2024","46573.95","47212.75","45979.6","46064.45"
"NIFTY BANK","16 Jan 2024","48109.95","48305.4","48002.85","48125.10"
"NIFTY BANK","15 Jan 2024","47891.05","48248.05","47825.4","48158.30"
"NIFTY BANK","12 Jan 2024","47572.7","47873.7","47408.5","47709.80"
"NIFTY BANK","11 Jan 2024","47538.6","47662.1","47237","47438.35"
"NIFTY BANK","10 Jan 2024","47073.85","47423.45","47010.8","47360.85"
"NIFTY BANK","09 Jan 2024","47705.4","47939.3","47156.05","47242.65"
"NIFTY BANK","08 Jan 2024","48096.65","48154.5","47387.35","47450.25"
"NIFTY BANK","05 Jan 2024","48245.55","48381.95","47822.85","48159.00"
"NIFTY BANK","04 Jan 2024","47805.4","48281.2","47738.15","48195.85"
"NIFTY BANK","03 Jan 2024","47796.3","47798.75","47481.35","47704.95"
"NIFTY BANK","02 Jan 2024","48194.8","48223.55","47689.8","47761.65"
"NIFTY BANK","01 Jan 2024","48203.45","48450","48044.15","48234.30"
"NIFTY BANK","29 Dec 2023","48374.85","48477.7","48091.85","48292.25"
"NIFTY BANK","28 Dec 2023","48479.05","48636.45","48343.15","48508.55"
"NIFTY BANK","27 Dec 2023","47818.5","48347.65","47806.7","48282.20"
"NIFTY BANK","26 Dec 2023","47576.4","47838.45","47411.65","47724.85"
"NIFTY BANK","22 Dec 2023","47837.75","48071.4","47415.85","47491.85"
"NIFTY BANK","21 Dec 2023","47172.45","47932.4","46919.7","47840.15"
"NIFTY BANK","20 Dec 2023","48085.35","48166.15","47202.65","47445.30"
"NIFTY BANK","19 Dec 2023","47940.4","48017","47646.05","47870.90"
"NIFTY BANK","18 Dec 2023","48068.5","48076.6","47806.7","47867.70"
"NIFTY BANK","15 Dec 2023","47939.9","48219.95","47632.85","48143.55"
"NIFTY BANK","14 Dec 2023","47567.65","47943.6","47510.85","47732.30"
"NIFTY BANK","13 Dec 2023","47190.75","47201.95","46886.9","47092.25"
"NIFTY BANK","12 Dec 2023","47421.7","47454","47004.05","47097.55"
"NIFTY BANK","11 Dec 2023","47233.3","47588","47186.6","47314.25"
"NIFTY BANK","08 Dec 2023","46797.2","47303.65","46793.9","47262.00"
"NIFTY BANK","07 Dec 2023","46735.4","46927.7","46507.15","46841.40"
"NIFTY BANK","06 Dec 2023","47256.75","47259.85","46750.2","46834.55"
"NIFTY BANK","05 Dec 2023","46895.9","47230.55","46653.65","47012.25"
"NIFTY BANK","04 Dec 2023","45671.5","46484.45","45484.2","46431.40"
"NIFTY BANK","01 Dec 2023","44580.15","44951.1","44531.75","44814.20"
"NIFTY BANK","30 Nov 2023","44711.2","44764.8","44254.6","44481.75"
"NIFTY BANK","29 Nov 2023","44081.75","44630.35","44003.45","44566.45"
"NIFTY BANK","28 Nov 2023","43851.55","43960.3","43739.8","43880.95"
"NIFTY BANK","24 Nov 2023","43607.35","43806.5","43566.15","43769.10"
"NIFTY BANK","23 Nov 2023","43452.75","43649.65","43451.35","43577.50"
"NIFTY BANK","22 Nov 2023","43663.6","43692.5","43230.95","43449.60"
"NIFTY BANK","21 Nov 2023","43790.95","43790.95","43586.45","43689.15"
"NIFTY BANK","20 Nov 2023","43591.5","43724","43450.05","43584.95"
"NIFTY BANK","17 Nov 2023","43656.25","43872.85","43513.85","43583.95"
"NIFTY BANK","16 Nov 2023","44251.7","44420.95","44064.15","44161.55"
"NIFTY BANK","15 Nov 2023","44398.45","44408.55","44164.55","44201.70"
"NIFTY BANK","13 Nov 2023","43915.1","43970.75","43681.4","43891.25"
"NIFTY BANK","12 Nov 2023","44054.5","44056","43916.6","43996.65"
"NIFTY BANK","10 Nov 2023","43543.25","43908.7","43504.95","43820.10"
"NIFTY BANK","09 Nov 2023","43626.1","43876.75","43542.65","43683.60"
"NIFTY BANK","08 Nov 2023","43791.8","43797.55","43547.75","43658.65"
"NIFTY BANK","07 Nov 2023","43598.85","43799.35","43283.85","43737.90"
"NIFTY BANK","06 Nov 2023","43627.75","43648.7","43415.2","43619.40"
"NIFTY BANK","03 Nov 2023","43318.3","43416.1","43221","43318.25"
"NIFTY BANK","02 Nov 2023","43018.7","43271.5","42796.45","43017.20"
"NIFTY BANK","01 Nov 2023","42694.25","42815.15","42589.65","42700.95"
"NIFTY BANK","31 Oct 2023","43356.85","43356.85","42797.15","42845.95"
"NIFTY BANK","30 Oct 2023","42721.4","43112.5","42390.5","43039.15"
"NIFTY BANK","27 Oct 2023","42555.6","42840.15","42482.75","42782.00"
"NIFTY BANK","26 Oct 2023","42708.4","42716.2","42105.4","42280.15"
"NIFTY BANK","25 Oct 2023","43308.3","43397.45","42758.4","42832.00"
"NIFTY BANK","23 Oct 2023","43822.7","43831.3","43029.45","43151.20"
"NIFTY BANK","20 Oct 2023","43584.25","43877.5","43567.45","43723.05"
"NIFTY BANK","19 Oct 2023","43616.75","44058.8","43558.1","43754.50"
"NIFTY BANK","18 Oct 2023","44404.2","44412.5","43861.45","43888.70"
"NIFTY BANK","17 Oct 2023","44589.8","44589.85","44336.95","44409.50"
"NIFTY BANK","16 Oct 2023","44204.75","44356.95","44044.4","44225.90"
"NIFTY BANK","13 Oct 2023","44322.05","44563.05","44203.7","44287.95"
"NIFTY BANK","12 Oct 2023","44571.55","44693.05","44530.05","44599.20"
"NIFTY BANK","11 Oct 2023","44554.90","44710.55","44411.40","44516.90"
"NIFTY BANK","10 Oct 2023","44027.55","44487.25","44004.55","44360.15"
"NIFTY BANK","09 Oct 2023","44057.80","44113.20","43796.75","43886.50"
"NIFTY BANK","06 Oct 2023","44395.40","44500.70","44242.95","44360.60"
"NIFTY BANK","05 Oct 2023","44181.35","44391.85","44108.30","44213.35"
"NIFTY BANK","04 Oct 2023","44108.15","44161.35","43857.50","43964.05"
"NIFTY BANK","03 Oct 2023","44561.50","44566.30","44243.10","44399.05"
"NIFTY BANK","29 Sep 2023","44445.35","44755.05","44344.90","44584.55"
"NIFTY BANK","28 Sep 2023","44700.35","44756.80","44248.20","44300.95"
"NIFTY BANK","27 Sep 2023","44465.90","44668.00","44182.50","44588.30"
"NIFTY BANK","26 Sep 2023","44722.5","44773.8","44532.45","44624.20"
"NIFTY BANK","25 Sep 2023","44615.00","44936.55","44400.90","44766.10"
"NIFTY BANK","22 Sep 2023","44707.35","44996.75","44548.90","44612.05"
"NIFTY BANK","21 Sep 2023","45179.60","45276.80","44592.45","44623.85"
"NIFTY BANK","20 Sep 2023","45493.70","45745.15","45276.40","45384.60"
"NIFTY BANK","18 Sep 2023","46100.95","46252.95","45906.90","45979.85"
"NIFTY BANK","15 Sep 2023","46122.15","46310.40","46028.75","46231.50"
"NIFTY BANK","14 Sep 2023","46013.30","46153.90","45801.50","46000.85"
"NIFTY BANK","13 Sep 2023","45449.35","45990.50","45299.40","45909.45"
"NIFTY BANK","12 Sep 2023","45893.80","45893.80","45322.55","45511.35"
"NIFTY BANK","11 Sep 2023","45340.80","45636.20","45231.30","45570.70"
"NIFTY BANK","08 Sep 2023","44953.65","45383.35","44812.15","45156.40"
"NIFTY BANK","07 Sep 2023","44418.05","44915.55","44341.20","44878.35"
"NIFTY BANK","06 Sep 2023","44494.65","44577.00","44207.25","44409.10"
"NIFTY BANK","05 Sep 2023","44625.05","44668.70","44401.70","44532.15"
